"spec_id","instrument","role","resolution","data","covariance_model","criterion"
"S100","HEXACO","robustness","facet","real","VII","ICL"
"S101","HEXACO","robustness","facet","real","EEI","ICL"
"S102","HEXACO","robustness","facet","real","VEI","ICL"
"S103","HEXACO","robustness","facet","real","EVI","ICL"
"S104","HEXACO","robustness","facet","real","VVI","ICL"
"S105","HEXACO","robustness","facet","real","EEE","ICL"
"S106","HEXACO","robustness","facet","real","EVE","ICL"
"S107","HEXACO","robustness","facet","real","VEE","ICL"
"S108","HEXACO","robustness","facet","real","VVE","ICL"
"S109","HEXACO","robustness","facet","real","EEV","ICL"
"S110","HEXACO","robustness","facet","real","VEV","ICL"
"S111","HEXACO","robustness","facet","real","EVV","ICL"
"S112","HEXACO","robustness","facet","real","VVV","ICL"
"S113","IPIP50","confirmatory","domain","null","EII","BIC"
"S114","IPIP50","confirmatory","domain","null","VII","BIC"
"S115","IPIP50","confirmatory","domain","null","EEI","BIC"
"S116","IPIP50","confirmatory","domain","null","VEI","BIC"
"S117","IPIP50","confirmatory","domain","null","EVI","BIC"
"S118","IPIP50","confirmatory","domain","null","VVI","BIC"
"S119","IPIP50","confirmatory","domain","null","EEE","BIC"
"S120","IPIP50","confirmatory","domain","null","EVE","BIC"
"S121","IPIP50","confirmatory","domain","null","VEE","BIC"
"S122","IPIP50","confirmatory","domain","null","VVE","BIC"
"S123","IPIP50","confirmatory","domain","null","EEV","BIC"
"S124","IPIP50","confirmatory","domain","null","VEV","BIC"
"S125","IPIP50","confirmatory","domain","null","EVV","BIC"
"S126","IPIP50","confirmatory","domain","null","VVV","BIC"
"S127","IPIP50","confirmatory","domain","null","EII","ICL"
"S128","IPIP50","confirmatory","domain","null","VII","ICL"
"S129","IPIP50","confirmatory","domain","null","EEI","ICL"
"S130","IPIP50","confirmatory","domain","null","VEI","ICL"
"S131","IPIP50","confirmatory","domain","null","EVI","ICL"
"S132","IPIP50","confirmatory","domain","null","VVI","ICL"
"S133","IPIP50","confirmatory","domain","null","EEE","ICL"
"S134","IPIP50","confirmatory","domain","null","EVE","ICL"
"S135","IPIP50","confirmatory","domain","null","VEE","ICL"
"S136","IPIP50","confirmatory","domain","null","VVE","ICL"
"S137","IPIP50","confirmatory","domain","null","EEV","ICL"
"S138","IPIP50","confirmatory","domain","null","VEV","ICL"
"S139","IPIP50","confirmatory","domain","null","EVV","ICL"
"S140","IPIP50","confirmatory","domain","null","VVV","ICL"
"S141","IPIP50","confirmatory","domain","real","EII","BIC"
"S142","IPIP50","confirmatory","domain","real","VII","BIC"
"S143","IPIP50","confirmatory","domain","real","EEI","BIC"
"S144","IPIP50","confirmatory","domain","real","VEI","BIC"
"S145","IPIP50","confirmatory","domain","real","EVI","BIC"
"S146","IPIP50","confirmatory","domain","real","VVI","BIC"
"S147","IPIP50","confirmatory","domain","real","EEE","BIC"
"S148","IPIP50","confirmatory","domain","real","EVE","BIC"
"S149","IPIP50","confirmatory","domain","real","VEE","BIC"
"S150","IPIP50","confirmatory","domain","real","VVE","BIC"
"S151","IPIP50","confirmatory","domain","real","EEV","BIC"
"S152","IPIP50","confirmatory","domain","real","VEV","BIC"
"S153","IPIP50","confirmatory","domain","real","EVV","BIC"
"S154","IPIP50","confirmatory","domain","real","VVV","BIC"
"S155","IPIP50","confirmatory","domain","real","EII","ICL"
"S156","IPIP50","confirmatory","domain","real","VII","ICL"
"S157","IPIP50","confirmatory","domain","real","EEI","ICL"
"S158","IPIP50","confirmatory","domain","real","VEI","ICL"
"S159","IPIP50","confirmatory","domain","real","EVI","ICL"
"S160","IPIP50","confirmatory","domain","real","VVI","ICL"
"S161","IPIP50","confirmatory","domain","real","EEE","ICL"
"S162","IPIP50","confirmatory","domain","real","EVE","ICL"
"S163","IPIP50","confirmatory","domain","real","VEE","ICL"
"S164","IPIP50","confirmatory","domain","real","VVE","ICL"
"S165","IPIP50","confirmatory","domain","real","EEV","ICL"
"S166","IPIP50","confirmatory","domain","real","VEV","ICL"
"S167","IPIP50","confirmatory","domain","real","EVV","ICL"
"S168","IPIP50","confirmatory","domain","real","VVV","ICL"
"S169","IPIP50","confirmatory","facet","null","EII","BIC"
"S170","IPIP50","confirmatory","facet","null","VII","BIC"
"S171","IPIP50","confirmatory","facet","null","EEI","BIC"
"S172","IPIP50","confirmatory","facet","null","VEI","BIC"
"S173","IPIP50","confirmatory","facet","null","EVI","BIC"
"S174","IPIP50","confirmatory","facet","null","VVI","BIC"
"S175","IPIP50","confirmatory","facet","null","EEE","BIC"
"S176","IPIP50","confirmatory","facet","null","EVE","BIC"
"S177","IPIP50","confirmatory","facet","null","VEE","BIC"
"S178","IPIP50","confirmatory","facet","null","VVE","BIC"
"S179","IPIP50","confirmatory","facet","null","EEV","BIC"
"S180","IPIP50","confirmatory","facet","null","VEV","BIC"
"S181","IPIP50","confirmatory","facet","null","EVV","BIC"
"S182","IPIP50","confirmatory","facet","null","VVV","BIC"
"S183","IPIP50","confirmatory","facet","null","EII","ICL"
"S184","IPIP50","confirmatory","facet","null","VII","ICL"
"S185","IPIP50","confirmatory","facet","null","EEI","ICL"
"S186","IPIP50","confirmatory","facet","null","VEI","ICL"
"S187","IPIP50","confirmatory","facet","null","EVI","ICL"
"S188","IPIP50","confirmatory","facet","null","VVI","ICL"
"S189","IPIP50","confirmatory","facet","null","EEE","ICL"
"S190","IPIP50","confirmatory","facet","null","EVE","ICL"
"S191","IPIP50","confirmatory","facet","null","VEE","ICL"
"S192","IPIP50","confirmatory","facet","null","VVE","ICL"
"S193","IPIP50","confirmatory","facet","null","EEV","ICL"
